dimension,grupo,n,rmse,mae,sesgo_medio,r2,sd_real,rmse_ic_inferior,rmse_ic_superior,sesgo_ic_inferior,sesgo_ic_superior,sesgo_relativo_ic_inferior,sesgo_relativo_ic_superior,concluyente,sesgo_significativo,sesgo_especifico
nombre_colegio,BCD,231,44.78281043916916,36.66658699519457,0.41649501003278255,0.16880017398587688,49.22669685284191,41.18114367106341,48.491056625453744,-5.17955276397383,5.79239694887432,-2.4813055854859445,8.008627798496564,True,False,False
nombre_colegio,DEF,225,46.11707227969438,37.67985816264282,-4.646489941600992,0.15318466268118425,50.22669719492922,42.138047798811456,49.66785447618161,-10.225996133337878,1.1733143159973243,-7.5756469696626,3.4019777735284986,True,False,False
nombre_colegio,EFG,228,41.25822156325006,34.306773633725264,-4.01540789433474,0.12226037153144553,44.134899850408935,38.19127344950923,44.377285271619,-9.195684237458867,1.4134901161707387,-6.881158471742449,3.554004628087078,True,False,False
nombre_colegio,GHI,220,43.16469596159659,35.25914831966923,1.251542300860081,0.17556633268065014,47.647499027266285,39.751509554257474,46.178999325416946,-4.525396583807162,6.940969681346651,-2.11027171629553,9.149364483925504,True,False,False
nombre_colegio,HIJ,235,41.880148551098216,33.23721733675107,0.8321935750822674,0.17866744580787597,46.3099910980842,38.10683862262802,45.73737988827235,-4.601505028309052,6.039681470925035,-1.9850723453008716,8.300373060797467,True,False,False
nombre_colegio,JKL,234,43.04265992206726,34.201234521975145,-1.1686713279983747,0.11408181817388297,45.828143307897506,39.37208791547361,46.66420490354033,-6.581775115309227,4.616857358597401,-4.249904303183512,6.818534022815783,True,False,False
nombre_colegio,KLM,231,40.854957339669056,33.01752861740569,-2.128999630602847,0.20830449244548743,46.01588118560166,37.418852916640475,43.96518821008645,-7.109454148607184,2.9149942496218695,-4.627290390687415,5.007280576491138,True,False,False
nombre_colegio,MNO,224,38.51646084154398,30.104183524743007,2.5227908532845698,0.2249494042658664,43.848316591097976,34.650063513225334,42.12897677552269,-2.3367171284068586,7.6276621444937724,0.48986344081910177,9.619023940178032,True,False,True
nombre_colegio,NOP,222,40.97921739484289,32.96523136885958,-5.267475253879083,0.15496732518682932,44.679392505163584,37.58039380704082,44.29228139335162,-11.197064293182471,-0.02646530827421977,-8.72483318308863,2.353029687153449,True,True,False
nombre_colegio,PQR,241,37.74627183450275,30.303807487716607,-9.360518436881138,0.12061419020768072,40.335480693382735,34.75169452358289,40.6100634090809,-13.976287964446215,-4.712072649070833,-11.730110736836311,-2.5834202725057334,True,True,True
nombre_colegio,RST,190,37.68826955768915,29.9900080620125,-0.0007448265133545742,0.1336050759578884,40.59701912173593,33.888843579949494,41.462191414785764,-5.355416724754546,5.372810694441188,-2.751843263035736,7.645368959735477,True,False,False
